Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1921,-.19,-.12,-.27,.01,-.26,-.31,-.05,.17,-.08,-.30,-.21,-.23,-.38,-.83
1922,-.29,-.28,-.29,-.25,-.32,-.27,-.36,-.40,-.13,-.33,-.32,-.24,-.28,-.27
1923,-.27,-.22,-.31,-.15,-.30,-.34,.12,-.15,-.25,-.33,-.27,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.13,-.26,-.43,.41,-.25,-.22,-.27,-.24,-.39,-.45,-.52
1925,-.22,-.14,-.30,-.04,-.24,-.37,-.12,.18,-.17,-.28,-.20,-.24,-.55,-.86
1926,-.11,.02,-.21,.03,.01,-.40,.54,.17,-.21,.00,.03,-.35,-.45,-.63
1927,-.22,-.14,-.29,-.13,-.16,-.38,-.01,-.21,-.12,-.15,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.06,-.16,-.39,.69,-.16,-.22,-.16,-.16,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.37,-.28,-.45,.13,-.61,-.37,-.28,-.28,-.43,-.44,-1.07
1930,-.16,-.01,-.29,.04,-.11,-.42,.52,.05,-.10,-.10,-.12,-.33,-.46,-2.59
1931,-.09,.05,-.21,.01,.08,-.43,.55,-.04,-.14,.10,.05,-.42,-.40,-.41
1932,-.16,-.05,-.25,.04,-.16,-.35,.47,.20,-.21,-.19,-.13,-.21,-.53,-.98
1933,-.28,-.25,-.32,-.24,-.28,-.34,-.17,-.47,-.12,-.28,-.28,-.21,-.48,-1.14
1934,-.12,.00,-.25,.17,-.25,-.26,.87,.31,-.12,-.26,-.24,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.04,-.18,-.37,.34,-.05,-.16,-.16,-.20,-.30,-.41,-1.71
1936,-.15,-.03,-.26,-.03,-.13,-.30,.39,.11,-.25,-.05,-.21,-.26,-.33,-.03
1937,-.03,.13,-.17,.20,-.05,-.22,1.23,.03,-.02,.01,-.11,-.19,-.25,.37
1938,.00,.16,-.18,.39,-.22,-.10,1.50,.39,.03,-.17,-.27,-.06,-.11,-.86
1939,-.01,.09,-.12,.22,-.11,-.12,.56,.28,.08,-.11,-.12,-.04,-.18,-1.60
1940,.13,.18,.09,.11,.29,-.07,.99,-.02,-.09,.28,.30,.03,-.20,-.05
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.08,.55,.44,.04,-.15,-.46
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.12,.04,.06,-.05,-.89
1943,.09,.18,-.01,.37,-.08,.04,1.41,.28,.11,-.11,-.06,.07,.00,1.14
1944,.20,.27,.15,.38,.19,.05,1.18,.47,.09,.11,.27,.19,-.10,-.93
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.09,.25,.04,.00,-1.77
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.07,-.22,-.24,-.16
1947,-.03,.08,-.13,.15,-.06,-.16,1.07,-.14,.04,-.03,-.09,-.19,-.08,-.20
1948,-.11,-.02,-.20,.13,-.18,-.24,.11,.31,.01,-.23,-.14,-.19,-.19,-1.36
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-1.96
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.08,.01,.12,-.01,-.11,-.22,-.16,-.69
1952,.01,.06,-.03,.11,.01,-.09,.27,-.09,.19,-.02,.05,-.10,-.02,-.50
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.10
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.01,-.14,-.29,-.17,-.20,-.80
1955,-.14,-.09,-.20,.05,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.16,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.08,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.22,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.20,-.34,.17,.14,-.36,-.47,-.25,.07,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.01,.08,.29,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.30,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.12,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.04,.08,.16,-.15,.03,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.06,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.14,.28,.39,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.27,.01,.18,.26,.36,.08,-.14,.07,.29,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.27,-.02,.04,.14,.30,.44,.04
1986,.18,.13,.23,.10,.23,.19,.01,.28,.03,.18,.27,.25,.25,-.11
1987,.32,.25,.41,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.23,.32,.42,.38,.20,.87
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.07,.19,.36,.30,.31
1990,.45,.53,.37,.63,.37,.37,.58,.88,.48,.38,.36,.37,.37,.37
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.41,.31,.29,.95
1992,.22,.13,.31,.09,.28,.26,-.17,.44,-.04,.20,.37,.20,.33,.38
1993,.23,.19,.28,.12,.32,.22,.54,.29,-.11,.29,.35,.27,.39,-.29
1994,.32,.37,.26,.43,.31,.20,.34,.50,.42,.28,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.98,.32,.41,.45,.29,.15,.14
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.32,.33,.28,1.20
1997,.46,.52,.41,.53,.51,.33,.76,.90,.23,.50,.53,.42,.36,-.03
1998,.61,.71,.52,.78,.70,.32,.86,.94,.66,.60,.79,.39,.31,.14
1999,.38,.48,.29,.70,.21,.30,.40,.80,.74,.16,.26,.46,.19,.03
2000,.39,.50,.29,.70,.25,.29,.97,.80,.55,.21,.29,.41,.10,.27
2001,.54,.64,.44,.80,.42,.43,1.06,.86,.68,.40,.45,.58,.24,.30
2002,.63,.71,.54,.83,.59,.47,1.25,1.00,.58,.55,.64,.49,.32,.77
2003,.62,.75,.49,.84,.64,.37,1.50,.98,.54,.61,.66,.44,.24,.42
2004,.53,.66,.41,.72,.55,.33,.46,.95,.66,.56,.53,.48,.23,.00
2005,.68,.86,.50,1.02,.62,.42,1.99,1.22,.57,.62,.61,.49,.19,.68
2006,.64,.82,.46,.99,.55,.40,1.73,1.06,.70,.57,.54,.51,.19,.45
2007,.66,.85,.47,1.13,.46,.47,2.11,1.32,.69,.45,.47,.49,.07,1.25
2008,.54,.68,.40,.92,.37,.39,1.54,1.07,.62,.34,.41,.52,.09,.61
2009,.66,.73,.59,.78,.68,.52,1.42,.60,.68,.65,.70,.60,.15,1.01
2010,.72,.90,.54,1.02,.68,.48,2.22,.86,.74,.72,.64,.63,.20,.51
2011,.61,.74,.47,.98,.37,.55,2.35,.93,.58,.39,.34,.64,.18,1.07
2012,.65,.81,.48,1.04,.52,.42,2.21,.93,.74,.48,.56,.56,.19,.39
2013,.68,.80,.55,.95,.57,.54,1.55,1.04,.69,.58,.57,.62,.23,.88
2014,.74,.92,.57,1.08,.66,.52,2.04,1.13,.73,.69,.63,.72,.18,.55
2015,.89,1.18,.62,1.32,.95,.40,2.00,1.48,1.00,.98,.92,.75,.18,-.35
2016,1.01,1.31,.72,1.55,1.00,.49,3.24,1.43,1.08,.96,1.05,.67,.26,.38
2017,.92,1.18,.66,1.39,.81,.59,2.52,1.38,1.05,.87,.75,.76,.35,.53
2018,.85,1.04,.65,1.25,.67,.68,2.14,1.09,1.06,.74,.60,.79,.37,.94
2019,.98,1.22,.74,1.42,.89,.65,2.71,1.43,1.00,.92,.87,.74,.39,.83
2020,1.02,1.36,.68,1.68,.86,.57,2.91,1.81,1.20,.90,.83,.58,.39,.90
